Name,description,timestamp,begin,end,altitudeMode,tessellate,extrude,visibility,drawOrder,icon,atr_gr_id,atr_gr_tipo,atr_gr_visible,atr_gr_tiene_q,atr_gr_alerta,equip_a_codigo,equip_a_observaciones,equip_a_estado_fecha,equip_a_fecha_declaracion,estado_id,infra_tipo,infra_descripcion,infra_interes,infra_senalizacion_externa,OGR_GEOM_WKT
,,,,,,-1,-1,-1,,,85226,4,false,false,,OJGIM0099,,2010-04-26T22:00:00Z,1996-03-13T23:00:00Z,1,46,Equipamiento del aparcamiento Villabáscones,false,false,POINT (-3.677986705224525 43.046915737728163)
,,,,,,-1,-1,-1,,,85227,4,false,false,,OJGIM0100,,2010-04-26T22:00:00Z,1996-03-13T23:00:00Z,2,17,Equipamiento del aparcamiento Villabáscones,false,false,POINT (-3.677986705224525 43.046915737728163)
,,,,,,-1,-1,-1,,,85228,4,false,false,,OJGIM0101,,2010-04-26T22:00:00Z,1996-03-13T23:00:00Z,1,46,Equipamiento del área recrativa de Quisicedo,false,false,POINT (-3.664419230553051 43.049147478229045)
,,,,,,-1,-1,-1,,,85229,4,false,false,,OJGIM0102,,2010-04-26T22:00:00Z,1996-03-13T23:00:00Z,2,14,Equipamiento del área recrativa de Quisicedo,false,false,POINT (-3.664419230553051 43.049147478229045)
,,,,,,-1,-1,-1,,,85230,4,false,false,,OJGIM0103,,2010-04-26T22:00:00Z,1996-03-13T23:00:00Z,1,14,Equipamiento del área recrativa de Quisicedo,false,false,POINT (-3.664419230553051 43.049147478229045)
,,,,,,-1,-1,-1,,,85231,4,false,false,,OJGIM0104,Faltan largueros en el cerramiento de madera.,2010-04-26T22:00:00Z,1996-03-13T23:00:00Z,3,17,Equipamiento del área recrativa de Quisicedo,false,false,POINT (-3.664419230553051 43.049147478229045)
,,,,,,-1,-1,-1,,,85232,4,false,false,,OJGIM0105,,2010-04-26T22:00:00Z,1996-03-13T23:00:00Z,1,46,Equipamiento del área recreativa San Roque,false,false,POINT (-3.669546825930333 43.045326540623122)
,,,,,,-1,-1,-1,,,85233,4,false,false,,OJGIM0106,,2010-04-26T22:00:00Z,1996-03-13T23:00:00Z,1,46,Equipamiento del área recreativa San Roque,false,false,POINT (-3.669571477339097 43.045335401270833)
,,,,,,-1,-1,-1,,,85234,4,false,false,,OJGIM0107,,2010-04-26T22:00:00Z,1996-03-13T23:00:00Z,1,46,Equipamiento del área recreativa San Roque,false,false,POINT (-3.669645529553606 43.045370987486585)
,,,,,,-1,-1,-1,,,85235,4,false,false,,OJGIM0108,,2010-04-26T22:00:00Z,1996-03-13T23:00:00Z,1,17,Equipamiento del área recreativa San Roque,false,false,POINT (-3.669546825930333 43.045326540623122)
,,,,,,-1,-1,-1,,,85236,4,false,false,,OJGIM0109,,2010-04-26T22:00:00Z,1996-03-13T23:00:00Z,1,46,Equipamiento del área recreativa Alto de Retuerta,false,false,POINT (-3.637392188447129 43.008572007052351)
,,,,,,-1,-1,-1,,,85237,4,false,false,,OJGIM0110,Bancos construidos en piedra y hormigón.,2010-04-26T22:00:00Z,1996-03-13T23:00:00Z,1,14,Equipamiento del área recreativa Alto de Retuerta,false,false,POINT (-3.637357893776541 43.0088153313921)
,,,,,,-1,-1,-1,,,85249,4,true,false,,OJGIM0122,,2010-04-26T22:00:00Z,1996-03-13T23:00:00Z,1,63,Equipamiento del área recreativa de la Casa del Parque,false,false,POINT (-3.627521214012564 43.056199458419009)
,,,,,,-1,-1,-1,,,85238,4,false,false,,OJGIM0111,Muro de piedra que separa área recreativa del terreno con fuerte pendiente y tiene la función de mirador.,2010-04-26T22:00:00Z,1996-03-13T23:00:00Z,1,17,Equipamiento del área recreativa Alto de Retuerta,false,false,POINT (-3.637468226529485 43.008805711966851)
